country_code,device_category,ad_unit_name,requests_old,cpma_old,fill_rate_old,fp_rules_old,fp_vertex_old,lb_old,ub_old,fp_old,requests_new,cpma_new,fill_rate_new,fp_rules_new,fp_vertex_new,lb_new,ub_new,fp_new
MQ,Smartphone,/4735792/reuters_mobile_mpu_3,1,0,0,-100,0.358732909,0.032907862,1.753328562,0.358732909,1,0,0,-100,0.358732909,0.032907862,1.753328562,0.358732909
MQ,Smartphone-iOS,/4735792/reuters_mobile_leaderboard,1,0,0,-100,0.368876845,0.024535296,1.625773311,0.368876845,1,0.014,0.090909091,-100,0.348648876,0.036984827,1.504556537,0.348648876
MQ,Smartphone-iOS,/4735792/reuters_mobile_mpu_2,1,0,0,-100,0.34198004,0.023396481,1.686739564,0.34198004,1,0,0,-100,0.34198004,0.023396481,1.686739564,0.34198004
MQ,Smartphone,/4735792/reuters_mobile_leaderboard,1,0,0,-100,0.369108468,0.026264472,1.670501947,0.369108468,1,0,0,-100,0.369108468,0.026264468,1.670501947,0.369108468
MQ,Smartphone,/4735792/reuters_mobile_mpu_2,1,0,0,-100,0.352780968,0.026681645,1.756788611,0.352780968,1,0,0,-100,0.352780968,0.026681645,1.756788611,0.352780968
MR,Desktop,/4735792/reuters_desktop_right_rail_4,2,0.005333,0.066666667,-100,0.277332157,0.003448761,1.590374112,0.277332157,2,0,0,-100,0.284053177,-0.009918547,1.668230891,0.284053177
MR,Desktop,/4735792/reuters_desktop_leaderboard_atf,1,0.005333,0.066666667,-100,0.254620612,0.001963252,1.320104361,0.254620612,1,0,0,-100,0.255732894,-0.013708537,1.411583304,0.255732894
MR,Desktop,/4735792/reuters_desktop_native_2,1,0.005333,0.066666667,-100,0.278442174,0.003093988,1.498402238,0.278442174,1,0,0,-100,0.287749559,-0.010692305,1.584120989,0.287749559
MR,Desktop,/4735792/reuters_desktop_native_1,2,0.005333,0.066666667,-100,0.275019914,0.007931325,1.442369699,0.275019914,2,0,0,-100,0.280831128,-0.005492469,1.532501578,0.280831128
MR,Desktop,/4735792/reuters_desktop_right_rail_1,1,0.005333,0.066666667,-100,0.280053884,-0.004461912,1.399138093,0.280053884,1,0.001333,0.011235955,-100,0.283437043,-0.018097857,1.453173876,0.283437043
MR,Desktop,/4735792/reuters_desktop_right_rail_2,1,0.008857,0.071428571,-100,0.293918937,-0.000804541,1.376111865,0.293918937,5,0.005,0.0625,-100,0.302914798,0.005096666,1.327547431,0.302914798
MT,Tablet,/4735792/reuters_mobile_mpu_1,1,0,0,-100,0.276404113,-0.009192866,1.89799118,0.276404113,1,0,0,-100,0.276404113,-0.009192866,1.89799118,0.276404113
MT,Tablet,/4735792/reuters_mobile_mpu_2,1,0,0,-100,0.263602585,-0.020450732,1.680367351,0.263602585,1,0,0,-100,0.263602585,-0.02045073,1.680367351,0.263602585
MT,Desktop,/4735792/reuters_desktop_leaderboard_atf,1,0,0,-100,0.266816348,-0.009251161,1.576245189,0.266816348,5,0.04775,0.086206897,-100,0.290434003,0.016370976,1.433117151,0.290434003
MT,Tablet,/4735792/reuters_mobile_mpu_3,1,0,0,-100,0.266548276,-0.014909144,1.701228976,0.266548276,1,0.225625,0.25,-100,0.333390027,0.039592799,1.683996081,0.333390027
MT,Desktop,/4735792/reuters_desktop_native_1,1,0,0,-100,0.291159332,-0.006849551,1.76373136,0.291159332,1,0,0,-100,0.291159332,-0.006849551,1.76373136,0.291159332
MT,Tablet,/4735792/reuters_mobile_leaderboard,9,0,0,-100,0.251545131,-0.002282849,1.599638939,0.251545131,9,0.003565,0.043478261,-100,0.248630792,0.003145613,1.560745955,0.248630792
MT,Smartphone,/4735792/reuters_mobile_mpu_1,3,0.006227,0.020757021,-100,0.296848744,0.010660138,1.664154887,0.296848744,13,0.021673,0.073170732,-100,0.304237008,0.023221409,1.545359969,0.304237008
MT,Smartphone,/4735792/reuters_mobile_mpu_2,3,0.006227,0.020757021,-100,0.289584339,-0.005379932,1.435577273,0.289584339,8,0.007551,0.016853933,-100,0.298260748,-0.002562372,1.39851439,0.298260748
MT,Smartphone,/4735792/reuters_mobile_mpu_3,4,0.006227,0.020757021,-100,0.29786846,0.004297856,1.429114342,0.29786846,9,0.01086,0.043478261,-100,0.300606161,0.009920641,1.360908866,0.300606161
MT,Smartphone-iOS,/4735792/reuters_mobile_leaderboard,33,0.007424,0.026373626,-100,0.272847593,0.015342134,1.263612628,0.272847593,45,0.011746,0.037958115,-100,0.27273339,0.020587942,1.240840673,0.27273339
MT,Smartphone-iOS,/4735792/reuters_mobile_mpu_3,8,0.007424,0.026373626,-100,0.286566108,0.003870509,1.348214388,0.286566108,11,0.026065,0.073170732,-100,0.290989101,0.013386375,1.289289713,0.290989101
MT,Smartphone-iOS,/4735792/reuters_mobile_mpu_1,5,0.007424,0.026373626,-100,0.285584658,0.009138895,1.571964741,0.285584658,8,0.025374,0.060869565,-100,0.293176413,0.019021813,1.519557834,0.293176413
MT,Smartphone-iOS,/4735792/reuters_mobile_mpu_2,13,0.007424,0.026373626,-100,0.286695063,-6.27E-05,1.357198596,0.286695063,14,0.010126,0.023622047,-100,0.288627684,0.000556938,1.360012889,0.288627684
MT,Desktop,/4735792/reuters_billboard_desktop_3,5,0.018737,0.032388664,-100,0.277704954,-0.009556106,1.658180237,0.277704954,5,0.003226,0.016129032,-100,0.271214336,-0.015164725,1.655547738,0.271214336
MT,Desktop,/4735792/reuters_mpu,3,0.018737,0.032388664,-100,0.285959542,-0.000924503,1.613550544,0.285959542,3,0,0,-100,0.280106127,-0.0093804,1.63589406,0.280106127
MT,Desktop,/4735792/reuters_billboard_desktop_1,1,0.018737,0.032388664,-100,0.263723671,0.018937169,1.789753318,0.263723671,1,0.185556,0.277777778,-100,0.283214629,0.0590095,1.657278895,0.283214629
MT,Desktop,/4735792/reuters_desktop_homepage_leaderboard_atf,1,0.018737,0.032388664,-100,0.251571387,-0.014393833,1.715830684,0.251571387,1,0.016667,0.027777778,-100,0.250995159,-0.015616077,1.719970107,0.250995159
MT,Desktop,/4735792/reuters_mobile_leaderboard,2,0.008914,0.054474708,-100,0.258847624,0.000702484,1.584830523,0.258847624,2,0.007909,0.045454545,-100,0.259420216,-0.00098327,1.594350338,0.259420216
MT,Desktop,/4735792/reuters_desktop_right_rail_2,1,0.041426,0.102941176,-100,0.320889115,0.005059301,1.544827342,0.320889115,2,0.050396,0.094117647,-100,0.330306709,0.009410817,1.541160822,0.330306709
MT,Desktop,/4735792/reuters_desktop_native_2,1,0.041426,0.102941176,-100,0.303028822,0.015816806,1.658774614,0.303028822,1,0,0,-100,0.294574469,-0.004475304,1.742739916,0.294574469
MT,Desktop,/4735792/reuters_desktop_right_rail_3,1,0.041426,0.102941176,-100,0.278354436,0.014576584,1.456684589,0.278354436,1,0.021133,0.133333333,-100,0.26376757,0.0151859,1.406104684,0.26376757
MT,Smartphone,/4735792/reuters_mobile_leaderboard,2,0.058483,0.103448276,-100,0.283035606,0.023012841,1.39336729,0.283035606,53,0.00966,0.042291951,-100,0.266597748,0.019970074,1.260218501,0.266597748
MT,Desktop,/4735792/reuters_desktop_right_rail_1,1,0.1746,0.6,-100,0.28840363,0.029741034,1.333874345,0.28840363,5,0.107676,0.173515982,-100,0.331615597,0.028275479,1.429278016,0.331615597
MU,Desktop,/4735792/reuters_mpu,1,0.001782,0.005747126,-100,0.281404585,-0.001493947,1.805750847,0.281404585,1,0,0,-100,0.281100243,-0.002641255,1.812852859,0.281100243
MU,Desktop,/4735792/reuters_billboard_desktop_3,1,0.001782,0.005747126,-100,0.260965437,-0.009935837,1.919623613,0.260965437,1,0.004306,0.013888889,-100,0.26143989,-0.008324078,1.910688758,0.26143989
MU,Smartphone-iOS,/4735792/reuters_mobile_mpu_2,6,0.0012,0.015384615,-100,0.281116217,0.00963943,1.419375777,0.281116217,10,0.004056,0.028037383,-100,0.285162896,0.014318739,1.376849532,0.285162896
MU,Smartphone-iOS,/4735792/reuters_mobile_mpu_3,4,0.0012,0.015384615,-100,0.282784522,0.015138415,1.448812366,0.282784522,6,0.001971,0.028985507,-100,0.283839494,0.018207565,1.407247901,0.283839494
MU,Smartphone-iOS,/4735792/reuters_mobile_leaderboard,5,0.000696,0.02173913,-100,0.266226411,0.013854787,1.448413491,0.266226411,38,0.010363,0.007352941,-100,0.279578179,0.025647391,1.387881517,0.279578179
MU,Smartphone-iOS,/4735792/reuters_mobile_mpu_1,1,0.000696,0.02173913,-100,0.275543094,0.01900127,1.648518562,0.275543094,11,0.001938,0.030769231,-100,0.28873837,0.02880534,1.515646338,0.28873837
MU,Smartphone,/4735792/reuters_mobile_mpu_3,1,0.007103,0.029411765,-100,0.281784713,0.017758762,1.568714738,0.281784713,20,0.023364,0.045454545,-100,0.307951659,0.034589287,1.397117615,0.307951659
MU,Smartphone,/4735792/reuters_mobile_leaderboard,5,0.007103,0.029411765,-100,0.269470066,0.017293666,1.5092026,0.269470066,105,0.006552,0.028571429,-100,0.272090673,0.034189671,1.375846505,0.272090673
MU,Smartphone,/4735792/reuters_mobile_mpu_2,2,0.007103,0.029411765,-100,0.287943184,0.007621601,1.480137587,0.287943184,34,0.011885,0.038167939,-100,0.307930946,0.023620209,1.323834658,0.307930946
MU,Smartphone,/4735792/reuters_mobile_mpu_1,2,0.007103,0.029411765,-100,0.290712118,0.025185404,1.692319274,0.290712118,42,0.011361,0.032258065,-100,0.307241052,0.03757605,1.529419541,0.307241052
MU,Desktop,/4735792/reuters_desktop_right_rail_1,2,0.007556,0.037037037,-100,0.297060668,0.002663868,1.592789888,0.297060668,2,0.035547,0.077651515,-100,0.307532221,0.013717212,1.583773971,0.307532221
MV,Desktop,/4735792/reuters_desktop_right_rail_1,1,0,0,-100,0.292995274,-0.025087768,1.608252764,0.292995274,3,0.00464,0.029661017,-100,0.29650867,-0.01393837,1.535481095,0.29650867
MV,Desktop,/4735792/reuters_desktop_leaderboard_atf,1,0,0,-100,0.264190257,-0.011937666,1.592155695,0.264190257,2,0.007138,0.041025641,-100,0.270491302,-0.000564841,1.513092995,0.270491302
MV,Smartphone-iOS,/4735792/reuters_mobile_mpu_2,1,0,0,-100,0.254786909,-0.01180024,1.492247939,0.254786909,5,0.01632,0.04,-100,0.267093629,0.004466811,1.39653182,0.267093629
MV,Desktop,/4735792/reuters_desktop_right_rail_2,1,0,0,-100,0.308629304,-0.01686628,1.567661166,0.308629304,4,0.009471,0.039215686,-100,0.314833581,-0.002698735,1.487135768,0.314833581
MV,Smartphone-iOS,/4735792/reuters_mobile_mpu_3,1,0,0,-100,0.270341545,-0.006667041,1.56329751,0.270341545,1,0.004426,0.021276596,-100,0.269022673,-0.002362784,1.541812778,0.269022673
MV,Desktop,/4735792/reuters_desktop_right_rail_4,1,0,0,-100,0.292457551,-0.011173381,1.914453864,0.292457551,1,0.009364,0.045454545,-100,0.291291416,-0.002541326,1.864148021,0.291291416
MV,Smartphone-iOS,/4735792/reuters_mobile_mpu_1,1,0,0,-100,0.281553239,-0.010282888,1.710770845,0.281553239,9,0.010813,0.065934066,-100,0.290159762,0.012009445,1.544462562,0.290159762
MV,Desktop,/4735792/reuters_desktop_native_1,1,0,0,-100,0.280393213,-0.013455753,1.743293166,0.280393213,5,0,0,-100,0.292159677,-0.006113404,1.649935365,0.292159677
MV,Desktop,/4735792/reuters_desktop_native_2,1,0,0,-100,0.293551445,-0.011008038,1.724472046,0.293551445,2,0,0,-100,0.297706068,-0.008399858,1.696160316,0.297706068
MV,Smartphone-iOS,/4735792/reuters_mobile_leaderboard,1,0.002633,0.012658228,-100,0.253878564,-0.010649542,1.431478381,0.253878564,19,0.000317,0.005602241,-100,0.261877805,0.003472912,1.322104454,0.261877805
MV,Smartphone,/4735792/reuters_mobile_mpu_2,1,0.008711,0.033557047,-100,0.272669494,-0.005479201,1.456435204,0.272669494,5,0.007467,0.033333333,-100,0.283438593,0.000114521,1.39458859,0.283438593
MV,Smartphone,/4735792/reuters_mobile_mpu_3,1,0.008711,0.033557047,-100,0.274776787,0.003022224,1.540625095,0.274776787,4,0.155833,0.166666667,-100,0.331106097,0.049830239,1.48997438,0.331106097
MV,Desktop,/4735792/reuters_mobile_mpu_2,1,0.00496,0.04,-100,0.274668604,-0.013193197,1.596294284,0.274668604,1,0,0,-100,0.276514649,-0.022100685,1.644364715,0.276514649
MV,Desktop,/4735792/reuters_mobile_leaderboard,1,0.00496,0.04,-100,0.255859226,-0.012192647,1.612754107,0.255859226,1,0,0,-100,0.257561833,-0.01994222,1.6581738,0.257561833
MV,Desktop,/4735792/reuters_mobile_mpu_1,1,0.00496,0.04,-100,0.288989365,-0.010734465,1.8583287,0.288989365,1,0,0,-100,0.289204806,-0.019316388,1.90688169,0.289204806
MV,Smartphone,/4735792/reuters_mobile_mpu_1,1,0.007875,0.046875,-100,0.290359527,0.003249834,1.667850137,0.290359527,10,0.038764,0.138888889,-100,0.307068467,0.02777335,1.495876193,0.307068467
MV,Smartphone,/4735792/reuters_mobile_leaderboard,2,0.007875,0.046875,-100,0.252679318,-0.0013802,1.429036975,0.252679318,24,0.013174,0.032482599,-100,0.264326662,0.008955874,1.350185275,0.264326662
MV,Tablet,/4735792/reuters_mobile_mpu_1,1,0.038,0.25,-100,0.27443108,0.020301824,1.653736711,0.27443108,1,0.076,0.5,-100,0.274759054,0.023488799,1.564771771,0.274759054
MV,Tablet,/4735792/reuters_mobile_leaderboard,3,0.038,0.25,-100,0.235788435,0.018786598,1.484568596,0.235788435,3,0.005538,0.076923077,-100,0.240417093,-0.002335674,1.547931075,0.240417093
MW,Smartphone,/4735792/reuters_mobile_leaderboard,4,0,0,-100,0.258043498,-0.005401857,1.365722179,0.258043498,67,0.02597,0.095343681,-100,0.269144982,0.025298571,1.223013759,0.269144982
MW,Smartphone-iOS,/4735792/reuters_mobile_leaderboard,1,0,0,-100,0.252523541,-0.012405633,1.373701334,0.252523541,1,0.092834,0.154696133,-100,0.288342506,0.018370511,1.320016623,0.288342506
MW,Desktop,/4735792/reuters_desktop_leaderboard_atf,1,0,0,-100,0.248336405,-0.016206948,1.548149943,0.248336405,1,0.012462,0.046153846,-100,0.24939391,-0.007552348,1.497807503,0.24939391
MW,Desktop,/4735792/reuters_desktop_right_rail_2,1,0,0,-100,0.297712624,-0.023634961,1.497902751,0.297712624,1,0.052331,0.112781955,-100,0.319997579,-0.000588446,1.425518394,0.319997579
MW,Smartphone,/4735792/reuters_mobile_mpu_1,1,0,0,-100,0.272882253,0.001120124,1.595317841,0.272882253,14,0.053607,0.101754386,-100,0.30736506,0.036152989,1.43113029,0.30736506
MW,Desktop,/4735792/reuters_desktop_native_2,2,0,0,-100,0.287617475,-0.006826487,1.625158191,0.287617475,2,0,0,-100,0.287617475,-0.006826487,1.625158191,0.287617475
MW,Desktop,/4735792/reuters_desktop_native_1,1,0,0,-100,0.271141678,-0.017458348,1.680513263,0.271141678,1,0,0,-100,0.271141648,-0.017458348,1.680513024,0.271141648
MW,Desktop,/4735792/reuters_desktop_right_rail_1,1,0,0,-100,0.280503929,-0.029731525,1.487383366,0.280503929,1,0.067874,0.131736527,-100,0.307587802,0.002250842,1.446557879,0.307587802
MW,Smartphone,/4735792/reuters_mobile_mpu_2,2,0.01875,0.025,-100,0.286082834,-0.003973692,1.453837276,0.286082834,4,0.034357,0.062240664,-100,0.295559406,0.008229225,1.401690364,0.295559406
MW,Smartphone,/4735792/reuters_mobile_mpu_3,1,0.024145,0.057971014,-100,0.279278934,0.007185337,1.471649051,0.279278934,5,0.019917,0.05,-100,0.288429439,0.010808176,1.404285192,0.288429439
MW,Smartphone,/4735792/reuters_mpu,1,0.050296,0.092592593,-100,0.280763417,0.014732647,1.516429543,0.280763417,1,0,0,-100,0.265825272,-0.006036418,1.556591988,0.265825272
MW,Tablet,/4735792/reuters_mobile_leaderboard,2,0.005,0.125,-100,0.224041164,-0.005567693,1.48910737,0.224041164,4,0.076541,0.162162162,-100,0.265771419,0.014385822,1.513715148,0.265771419
MW,Tablet,/4735792/reuters_mobile_mpu_2,1,0.08475,0.15625,-100,0.281706512,0.014363835,1.480620027,0.281706512,1,0.101,0.2,-100,0.282585174,0.02055349,1.455981493,0.282585174
MW,Tablet,/4735792/reuters_mobile_mpu_1,2,0.08475,0.15625,-100,0.289816499,0.021792328,1.694639564,0.289816499,2,0.067083,0.125,-100,0.286377877,0.016975207,1.701991081,0.286377877
MW,Desktop,/4735792/reuters_billboard_desktop_3,1,0.092778,0.166666667,-100,0.262375414,0.000741192,1.699036002,0.262375414,1,0.03,0.142857143,-100,0.241960898,-0.011334583,1.621767402,0.241960898
MX,Smartphone-iOS,/4735792/reuters_mobile_leaderboard,24,0.020975,0.057948068,-100,0.274762303,0.016127652,1.179449439,0.274762303,525,0.033011,0.146666667,-100,0.248082817,0.047584046,1.025432706,0.248082817
MX,Smartphone-iOS,/4735792/reuters_mobile_mpu_1,3,0.020975,0.057948068,-100,0.285755217,0.009775306,1.417041779,0.285755217,104,0.088317,0.230769231,-100,0.302773476,0.053088307,1.183052897,0.302773476
MX,Smartphone,/4735792/reuters_mobile_mpu_3,2,0.040362,0.062572422,-100,0.294216484,0.01501815,1.383138061,0.294216484,46,0.159486,0.264119601,-100,0.32970795,0.063119017,1.191063285,0.32970795
MX,Smartphone,/4735792/reuters_mobile_mpu_2,6,0.040362,0.062572422,-100,0.297406137,0.010621246,1.294519067,0.297406137,77,0.156104,0.294945284,-100,0.318978786,0.069580607,1.116081357,0.318978786
MX,Smartphone,/4735792/reuters_mobile_leaderboard,44,0.040362,0.062572422,-100,0.280435026,0.026942475,1.193755388,0.280435026,398,0.100492,0.180904523,-100,0.280929983,0.065546431,1.088442206,0.280929983
MX,Smartphone,/4735792/reuters_mobile_mpu_1,8,0.040362,0.062572422,-100,0.309009075,0.019603917,1.404670954,0.309009075,78,0.171487,0.268158977,-100,0.347452372,0.073695697,1.278819919,0.347452372
MX,Smartphone-iOS,/4735792/reuters_mobile_mpu_3,3,0.027398,0.115384615,-100,0.276723653,0.015792036,1.26698041,0.276723653,58,0.069138,0.22815534,-100,0.28359291,0.044324022,1.081364632,0.28359291
MX,Smartphone-iOS,/4735792/reuters_mobile_mpu_2,4,0.027398,0.115384615,-100,0.275182933,0.014222157,1.227722883,0.275182933,95,0.127958,0.234526112,-100,0.30595386,0.061757274,1.071169019,0.30595386
MX,Desktop,/4735792/reuters_desktop_right_rail_3,2,0.091985,0.189111748,-100,0.293887794,0.033419538,1.40954721,0.293887794,18,0.152757,0.262376238,-100,0.315021157,0.062268097,1.311465144,0.315021157
MX,Desktop,/4735792/reuters_mobile_mpu_1,1,0.065507,0.194986072,-100,0.293484002,0.019829247,1.624119997,0.293484002,73,0.115863,0.177865613,-100,0.328727186,0.051201206,1.46094358,0.328727186
MX,Desktop,/4735792/reuters_billboard_desktop_3,1,0.123144,0.211255411,-100,0.279124051,0.01820479,1.676647544,0.279124051,107,0.082617,0.205607477,-100,0.273641199,0.043178227,1.348420382,0.273641199
MX,Desktop,/4735792/reuters_desktop_leaderboard_atf,16,0.123144,0.211255411,-100,0.302748203,0.046026971,1.294912219,0.302748203,381,0.193533,0.299212598,-100,0.306111395,0.092298269,1.202688575,0.306111395
MX,Desktop,/4735792/reuters_mobile_leaderboard,1,0.123144,0.211255411,-100,0.284237653,0.026026845,1.478163362,0.284237653,104,0.088163,0.269230769,-100,0.254329711,0.047479894,1.240092635,0.254329711
MX,Desktop,/4735792/reuters_desktop_right_rail_4,1,0.123144,0.211255411,-100,0.321738005,0.027852887,1.709935546,0.321738005,135,0.08603,0.214814815,-100,0.298164487,0.046883333,1.301808119,0.298164487
MX,Desktop,/4735792/reuters_desktop_native_2,5,0.123144,0.211255411,-100,0.325937033,0.035845947,1.515908122,0.325937033,222,0,0,-100,0.283288449,0.01490794,1.400176883,0.283288449
